scenario,rx_index,rx_name,x_m,y_m,z_m,orientation_alpha_deg,orientation_beta_deg,orientation_gamma_deg,pattern_csv,lens_angle_deg
linear_lens,0,Simul_+60deg,-9.0085,-0.014722,2.0,-90,-90,0.0,farfieldAntennaData/FarFieldData_m60deg_detailFreq.csv,60
linear_lens,1,Simul_+45deg,-9.012021,-0.012021,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_m45deg_detailFreq.csv,45
linear_lens,2,Simul_+30deg,-9.014722,-0.0085,2.0,-90,-90,0.0,farfieldAntennaData/FarFieldData_m30deg_detailFreq.csv,30
linear_lens,3,Simul_+15deg,-9.016421,-0.0044,2.0,-90,-90,0.0,farfieldAntennaData/FarFieldData_m15deg_detailFreq.csv,15
linear_lens,4,Simul_+0deg,-9.017,0.0,2.0,-90,-90,0.0,farfieldAntennaData/FarFieldData_0deg_detailFreq.csv,0
linear_lens,5,Simul_-15deg,-9.016421,0.0044,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_m15deg_detailFreq.csv,-15
linear_lens,6,Simul_-30deg,-9.014722,0.0085,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_m30deg_detailFreq.csv,-30
linear_lens,7,Simul_-45deg,-9.012021,0.012021,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_m45deg_detailFreq.csv,-45
linear_lens,8,Simul_-60deg,-9.0085,0.014722,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_m60deg_detailFreq.csv,-60
linear_wolens,0,Simul_+4,-9.0,-0.02212,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,1,Simul_+3,-9.0,-0.01659,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,2,Simul_+2,-9.0,-0.01106,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,3,Simul_+1,-9.0,-0.00553,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,4,Simul_0,-9.0,0.0,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,5,Simul_-1,-9.0,0.00553,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,6,Simul_-2,-9.0,0.01106,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,7,Simul_-3,-9.0,0.01659,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
linear_wolens,8,Simul_-4,-9.0,0.02212,2.0,-90,90,0.0,farfieldAntennaData/FarFieldData_Patch_38GHz.csv,0
