scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz
half_lens,0,0.0,0,Simul_+60deg,1.5,1.24
half_lens,0,0.0,1,Simul_+45deg,0.1,1.01
half_lens,0,0.0,2,Simul_+30deg,-2.6,0.63
half_lens,0,0.0,3,Simul_+15deg,-0.2,0.96
half_lens,0,0.0,4,Simul_+0deg,2.8,1.5
half_lens,0,0.0,5,Simul_-15deg,7.9,2.79
half_lens,0,0.0,6,Simul_-30deg,7.7,2.75
half_lens,0,0.0,7,Simul_-45deg,4.7,1.97
half_lens,0,0.0,8,Simul_-60deg,8.2,2.9
half_lens,1,0.79,0,Simul_+60deg,1.5,1.24
half_lens,1,0.79,1,Simul_+45deg,-0.5,0.89
half_lens,1,0.79,2,Simul_+30deg,-2.6,0.63
half_lens,1,0.79,3,Simul_+15deg,0.6,1.08
half_lens,1,0.79,4,Simul_+0deg,2.5,1.43
half_lens,1,0.79,5,Simul_-15deg,8.3,2.91
half_lens,1,0.79,6,Simul_-30deg,7.7,2.7
half_lens,1,0.79,7,Simul_-45deg,4.9,2.03
half_lens,1,0.79,8,Simul_-60deg,9.2,3.2
half_lens,2,1.57,0,Simul_+60deg,0.5,1.07
half_lens,2,1.57,1,Simul_+45deg,-0.7,0.87
half_lens,2,1.57,2,Simul_+30deg,-3.5,0.53
half_lens,2,1.57,3,Simul_+15deg,1.3,1.2
half_lens,2,1.57,4,Simul_+0deg,2.1,1.39
half_lens,2,1.57,5,Simul_-15deg,7.6,2.72
half_lens,2,1.57,6,Simul_-30deg,7.5,2.69
half_lens,2,1.57,7,Simul_-45deg,6.2,2.35
half_lens,2,1.57,8,Simul_-60deg,10.4,3.53
half_lens,3,2.36,0,Simul_+60deg,-0.6,0.89
half_lens,3,2.36,1,Simul_+45deg,-0.4,0.92
half_lens,3,2.36,2,Simul_+30deg,-3.4,0.54
half_lens,3,2.36,3,Simul_+15deg,1.9,1.33
half_lens,3,2.36,4,Simul_+0deg,2.3,1.42
half_lens,3,2.36,5,Simul_-15deg,6.4,2.38
half_lens,3,2.36,6,Simul_-30deg,6.1,2.3
half_lens,3,2.36,7,Simul_-45deg,7.6,2.72
half_lens,3,2.36,8,Simul_-60deg,10.3,3.48
half_lens,4,3.14,0,Simul_+60deg,-1.2,0.81
half_lens,4,3.14,1,Simul_+45deg,-0.3,0.94
