scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz,time_s,tx_center_x_m,tx_center_y_m,tx_center_z_m
linear_lens,0,0.0,0,Simul_+60deg,1.3,1.21,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,1,Simul_+45deg,-0.1,0.97,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,2,Simul_+30deg,-3.2,0.56,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,3,Simul_+15deg,-1.4,0.77,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,4,Simul_+0deg,2.8,1.52,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,5,Simul_-15deg,7.6,2.71,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,6,Simul_-30deg,7.9,2.79,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,7,Simul_-45deg,4.3,1.85,0.0,0.0,-9.5,2.0
linear_lens,0,0.0,8,Simul_-60deg,8.6,3.01,0.0,0.0,-9.5,2.0
linear_lens,1,0.95,0,Simul_+60deg,1.2,1.21,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,1,Simul_+45deg,-0.3,0.93,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,2,Simul_+30deg,-2.1,0.68,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,3,Simul_+15deg,0.7,1.11,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,4,Simul_+0deg,3.0,1.56,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,5,Simul_-15deg,7.7,2.75,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,6,Simul_-30deg,7.6,2.74,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,7,Simul_-45deg,5.0,2.03,0.95,0.0,-8.55,2.0
linear_lens,1,0.95,8,Simul_-60deg,8.6,2.98,0.95,0.0,-8.55,2.0
linear_lens,2,1.9,0,Simul_+60deg,1.4,1.23,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,1,Simul_+45deg,-0.8,0.86,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,2,Simul_+30deg,-1.7,0.73,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,3,Simul_+15deg,1.7,1.28,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,4,Simul_+0deg,3.1,1.56,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,5,Simul_-15deg,8.2,2.86,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,6,Simul_-30deg,7.2,2.6,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,7,Simul_-45deg,5.6,2.2,1.9,0.0,-7.6,2.0
linear_lens,2,1.9,8,Simul_-60deg,7.9,2.77,1.9,0.0,-7.6,2.0
linear_lens,3,2.85,0,Simul_+60deg,1.8,1.31,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,1,Simul_+45deg,-0.7,0.89,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,2,Simul_+30deg,-0.6,0.9,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,3,Simul_+15deg,1.9,1.33,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,4,Simul_+0deg,2.8,1.5,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,5,Simul_-15deg,8.4,2.93,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,6,Simul_-30deg,6.1,2.29,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,7,Simul_-45deg,6.7,2.45,2.85,0.0,-6.65,2.0
linear_lens,3,2.85,8,Simul_-60deg,7.1,2.56,2.85,0.0,-6.65,2.0
linear_lens,4,3.8,0,Simul_+60deg,1.2,1.19,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,1,Simul_+45deg,0.5,1.07,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,2,Simul_+30deg,0.5,1.07,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,3,Simul_+15deg,2.4,1.44,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,4,Simul_+0deg,2.8,1.5,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,5,Simul_-15deg,7.8,2.73,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,6,Simul_-30deg,5.8,2.23,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,7,Simul_-45deg,7.2,2.61,3.8,0.0,-5.7,2.0
linear_lens,4,3.8,8,Simul_-60deg,5.9,2.27,3.8,0.0,-5.7,2.0
linear_lens,5,4.75,0,Simul_+60deg,0.9,1.15,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,1,Simul_+45deg,1.2,1.19,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,2,Simul_+30deg,1.1,1.18,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,3,Simul_+15deg,3.2,1.6,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,4,Simul_+0deg,3.2,1.6,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,5,Simul_-15deg,6.5,2.43,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,6,Simul_-30deg,6.1,2.28,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,7,Simul_-45deg,7.2,2.6,4.75,0.0,-4.75,2.0
linear_lens,5,4.75,8,Simul_-60deg,4.8,1.96,4.75,0.0,-4.75,2.0
linear_lens,6,5.7,0,Simul_+60deg,0.6,1.08,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,1,Simul_+45deg,1.7,1.29,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,2,Simul_+30deg,0.3,1.03,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,3,Simul_+15deg,2.6,1.46,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,4,Simul_+0deg,4.3,1.85,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,5,Simul_-15deg,4.7,1.96,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,6,Simul_-30deg,7.1,2.56,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,7,Simul_-45deg,6.1,2.3,5.7,0.0,-3.8,2.0
linear_lens,6,5.7,8,Simul_-60deg,5.1,2.05,5.7,0.0,-3.8,2.0
linear_lens,7,6.65,0,Simul_+60deg,0.4,1.05,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,1,Simul_+45deg,2.9,1.54,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,2,Simul_+30deg,0.8,1.12,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,3,Simul_+15deg,0.8,1.11,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,4,Simul_+0deg,2.5,1.46,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,5,Simul_-15deg,6.1,2.3,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,6,Simul_-30deg,5.4,2.11,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,7,Simul_-45deg,7.3,2.61,6.65,0.0,-2.85,2.0
linear_lens,7,6.65,8,Simul_-60deg,4.1,1.82,6.65,0.0,-2.85,2.0
linear_lens,8,7.6,0,Simul_+60deg,-2.2,0.67,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,1,Simul_+45deg,2.7,1.5,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,2,Simul_+30deg,-1.3,0.79,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,3,Simul_+15deg,1.9,1.34,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,4,Simul_+0deg,3.5,1.67,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,5,Simul_-15deg,7.1,2.58,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,6,Simul_-30deg,8.4,2.97,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,7,Simul_-45deg,6.5,2.44,7.6,0.0,-1.9000000000000004,2.0
linear_lens,8,7.6,8,Simul_-60deg,4.5,1.92,7.6,0.0,-1.9000000000000004,2.0
linear_lens,9,8.55,0,Simul_+60deg,-1.1,0.82,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,1,Simul_+45deg,3.1,1.57,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,2,Simul_+30deg,-4.4,0.45,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,3,Simul_+15deg,1.9,1.32,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,4,Simul_+0deg,8.7,3.05,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,5,Simul_-15deg,5.3,2.13,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,6,Simul_-30deg,7.9,2.82,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,7,Simul_-45deg,4.9,2.0,8.55,0.0,-0.9499999999999992,2.0
linear_lens,9,8.55,8,Simul_-60deg,1.7,1.3,8.55,0.0,-0.9499999999999992,2.0
linear_lens,10,9.5,0,Simul_+60deg,-0.2,0.95,9.5,0.0,0.0,2.0
linear_lens,10,9.5,1,Simul_+45deg,1.2,1.19,9.5,0.0,0.0,2.0
linear_lens,10,9.5,2,Simul_+30deg,-2.2,0.68,9.5,0.0,0.0,2.0
linear_lens,10,9.5,3,Simul_+15deg,9.3,3.23,9.5,0.0,0.0,2.0
linear_lens,10,9.5,4,Simul_+0deg,-2.9,0.59,9.5,0.0,0.0,2.0
linear_lens,10,9.5,5,Simul_-15deg,9.1,3.2,9.5,0.0,0.0,2.0
linear_lens,10,9.5,6,Simul_-30deg,1.7,1.31,9.5,0.0,0.0,2.0
linear_lens,10,9.5,7,Simul_-45deg,2.5,1.44,9.5,0.0,0.0,2.0
linear_lens,10,9.5,8,Simul_-60deg,3.8,1.76,9.5,0.0,0.0,2.0
linear_lens,11,10.45,0,Simul_+60deg,-1.4,0.78,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,1,Simul_+45deg,4.3,1.84,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,2,Simul_+30deg,8.2,2.89,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,3,Simul_+15deg,5.9,2.27,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,4,Simul_+0deg,9.0,3.14,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,5,Simul_-15deg,3.1,1.58,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,6,Simul_-30deg,2.7,1.51,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,7,Simul_-45deg,4.2,1.85,10.45,0.0,0.9499999999999992,2.0
linear_lens,11,10.45,8,Simul_-60deg,1.9,1.34,10.45,0.0,0.9499999999999992,2.0
linear_lens,12,11.4,0,Simul_+60deg,2.9,1.56,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,1,Simul_+45deg,4.7,1.98,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,2,Simul_+30deg,9.1,3.17,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,3,Simul_+15deg,6.6,2.45,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,4,Simul_+0deg,4.9,2.01,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,5,Simul_-15deg,4.6,1.94,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,6,Simul_-30deg,4.3,1.87,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,7,Simul_-45deg,3.8,1.74,11.4,0.0,1.9000000000000004,2.0
linear_lens,12,11.4,8,Simul_-60deg,0.6,1.09,11.4,0.0,1.9000000000000004,2.0
linear_lens,13,12.35,0,Simul_+60deg,2.1,1.37,12.35,0.0,2.85,2.0
linear_lens,13,12.35,1,Simul_+45deg,6.1,2.3,12.35,0.0,2.85,2.0
linear_lens,13,12.35,2,Simul_+30deg,6.0,2.31,12.35,0.0,2.85,2.0
linear_lens,13,12.35,3,Simul_+15deg,5.5,2.17,12.35,0.0,2.85,2.0
linear_lens,13,12.35,4,Simul_+0deg,3.8,1.75,12.35,0.0,2.85,2.0
linear_lens,13,12.35,5,Simul_-15deg,5.2,2.06,12.35,0.0,2.85,2.0
linear_lens,13,12.35,6,Simul_-30deg,5.5,2.17,12.35,0.0,2.85,2.0
linear_lens,13,12.35,7,Simul_-45deg,3.2,1.62,12.35,0.0,2.85,2.0
linear_lens,13,12.35,8,Simul_-60deg,0.6,1.08,12.35,0.0,2.85,2.0
linear_lens,14,13.3,0,Simul_+60deg,4.1,1.79,13.3,0.0,3.8000000000000007,2.0
linear_lens,14,13.3,1,Simul_+45deg,4.8,1.98,13.3,0.0,3.8000000000000007,2.0
linear_lens,14,13.3,2,Simul_+30deg,6.9,2.54,13.3,0.0,3.8000000000000007,2.0
linear_lens,14,13.3,3,Simul_+15deg,4.1,1.79,13.3,0.0,3.8000000000000007,2.0
linear_lens,14,13.3,4,Simul_+0deg,4.3,1.85,13.3,0.0,3.8000000000000007,2.0
linear_lens,14,13.3,5,Simul_-15deg,6.3,2.35,13.3,0.0,3.8000000000000007,2.0
linear_lens,14,13.3,6,Simul_-30deg,5.2,2.09,13.3,0.0,3.8000000000000007,2.0
