scenario,waypoint,distance_along_m,rx_config_index,rx_config_name,mean_snr_db,capacity_bits_s_hz,time_s,tx_center_x_m,tx_center_y_m,tx_center_z_m
linear_wolens,0,0.0,0,Simul_+4,3.6,1.68,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,1,Simul_+3,3.5,1.66,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,2,Simul_+2,3.4,1.64,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,3,Simul_+1,3.3,1.62,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,4,Simul_0,3.1,1.59,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,5,Simul_-1,3.0,1.57,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,6,Simul_-2,3.0,1.57,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,7,Simul_-3,3.0,1.58,0.0,0.0,-9.5,2.0
linear_wolens,0,0.0,8,Simul_-4,3.1,1.59,0.0,0.0,-9.5,2.0
linear_wolens,1,0.95,0,Simul_+4,3.3,1.63,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,1,Simul_+3,3.3,1.62,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,2,Simul_+2,3.3,1.63,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,3,Simul_+1,3.1,1.58,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,4,Simul_0,3.1,1.57,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,5,Simul_-1,3.4,1.63,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,6,Simul_-2,3.4,1.65,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,7,Simul_-3,3.3,1.61,0.95,0.0,-8.55,2.0
linear_wolens,1,0.95,8,Simul_-4,3.2,1.6,0.95,0.0,-8.55,2.0
linear_wolens,2,1.9,0,Simul_+4,3.2,1.59,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,1,Simul_+3,3.3,1.6,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,2,Simul_+2,3.3,1.61,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,3,Simul_+1,3.3,1.61,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,4,Simul_0,3.4,1.62,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,5,Simul_-1,3.5,1.67,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,6,Simul_-2,3.6,1.69,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,7,Simul_-3,3.5,1.67,1.9,0.0,-7.6,2.0
linear_wolens,2,1.9,8,Simul_-4,3.6,1.69,1.9,0.0,-7.6,2.0
linear_wolens,3,2.85,0,Simul_+4,3.5,1.68,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,1,Simul_+3,3.4,1.64,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,2,Simul_+2,3.3,1.62,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,3,Simul_+1,3.3,1.63,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,4,Simul_0,3.2,1.59,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,5,Simul_-1,3.2,1.61,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,6,Simul_-2,3.2,1.59,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,7,Simul_-3,3.1,1.58,2.85,0.0,-6.65,2.0
linear_wolens,3,2.85,8,Simul_-4,3.3,1.61,2.85,0.0,-6.65,2.0
linear_wolens,4,3.8,0,Simul_+4,3.1,1.59,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,1,Simul_+3,3.2,1.59,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,2,Simul_+2,3.2,1.6,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,3,Simul_+1,3.2,1.6,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,4,Simul_0,3.2,1.6,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,5,Simul_-1,3.2,1.59,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,6,Simul_-2,3.2,1.59,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,7,Simul_-3,3.1,1.57,3.8,0.0,-5.7,2.0
linear_wolens,4,3.8,8,Simul_-4,3.1,1.57,3.8,0.0,-5.7,2.0
linear_wolens,5,4.75,0,Simul_+4,2.4,1.42,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,1,Simul_+3,2.4,1.43,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,2,Simul_+2,2.4,1.42,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,3,Simul_+1,2.4,1.42,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,4,Simul_0,2.3,1.41,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,5,Simul_-1,2.4,1.42,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,6,Simul_-2,2.4,1.42,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,7,Simul_-3,2.4,1.43,4.75,0.0,-4.75,2.0
linear_wolens,5,4.75,8,Simul_-4,2.4,1.43,4.75,0.0,-4.75,2.0
linear_wolens,6,5.7,0,Simul_+4,1.4,1.24,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,1,Simul_+3,1.4,1.24,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,2,Simul_+2,1.5,1.25,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,3,Simul_+1,1.5,1.25,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,4,Simul_0,1.5,1.26,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,5,Simul_-1,1.5,1.26,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,6,Simul_-2,1.5,1.26,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,7,Simul_-3,1.5,1.26,5.7,0.0,-3.8,2.0
linear_wolens,6,5.7,8,Simul_-4,1.4,1.25,5.7,0.0,-3.8,2.0
linear_wolens,7,6.65,0,Simul_+4,-0.1,0.97,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,1,Simul_+3,-0.1,0.97,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,2,Simul_+2,0.0,0.99,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,3,Simul_+1,0.1,1.0,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,4,Simul_0,0.2,1.02,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,5,Simul_-1,0.2,1.02,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,6,Simul_-2,0.3,1.04,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,7,Simul_-3,0.4,1.04,6.65,0.0,-2.85,2.0
linear_wolens,7,6.65,8,Simul_-4,0.4,1.05,6.65,0.0,-2.85,2.0
linear_wolens,8,7.6,0,Simul_+4,-0.9,0.84,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,1,Simul_+3,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,2,Simul_+2,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,3,Simul_+1,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,4,Simul_0,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,5,Simul_-1,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,6,Simul_-2,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,7,Simul_-3,-0.9,0.85,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,8,7.6,8,Simul_-4,-1.0,0.84,7.6,0.0,-1.9000000000000004,2.0
linear_wolens,9,8.55,0,Simul_+4,-2.0,0.7,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,1,Simul_+3,-2.0,0.7,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,2,Simul_+2,-2.0,0.7,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,3,Simul_+1,-2.0,0.71,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,4,Simul_0,-2.0,0.7,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,5,Simul_-1,-1.9,0.71,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,6,Simul_-2,-1.9,0.71,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,7,Simul_-3,-1.9,0.71,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,9,8.55,8,Simul_-4,-1.9,0.71,8.55,0.0,-0.9499999999999992,2.0
linear_wolens,10,9.5,0,Simul_+4,-1.9,0.71,9.5,0.0,0.0,2.0
linear_wolens,10,9.5,1,Simul_+3,-2.0,0.7,9.5,0.0,0.0,2.0
linear_wolens,10,9.5,2,Simul_+2,-2.5,0.64,9.5,0.0,0.0,2.0
