scenario,tx_index,x_m,y_m,z_m
linear_lens,0,-7.96077,-1.8,2.0
linear_lens,1,-7.96077,-1.35,2.0
linear_lens,2,-7.96077,-0.9,2.0
linear_lens,3,-7.96077,-0.45,2.0
linear_lens,4,-7.96077,0.0,2.0
linear_lens,5,-7.96077,0.45,2.0
linear_lens,6,-7.96077,0.9,2.0
linear_lens,7,-7.96077,1.35,2.0
linear_lens,8,-7.96077,1.8,2.0
linear_wolens,0,-7.96077,-1.8,2.0
linear_wolens,1,-7.96077,-1.35,2.0
linear_wolens,2,-7.96077,-0.9,2.0
linear_wolens,3,-7.96077,-0.45,2.0
linear_wolens,4,-7.96077,0.0,2.0
linear_wolens,5,-7.96077,0.45,2.0
linear_wolens,6,-7.96077,0.9,2.0
linear_wolens,7,-7.96077,1.35,2.0
linear_wolens,8,-7.96077,1.8,2.0
half_lens,0,-7.96077,-1.8,2.0
half_lens,1,-7.96077,-1.35,2.0
half_lens,2,-7.96077,-0.9,2.0
half_lens,3,-7.96077,-0.45,2.0
half_lens,4,-7.96077,0.0,2.0
half_lens,5,-7.96077,0.45,2.0
half_lens,6,-7.96077,0.9,2.0
half_lens,7,-7.96077,1.35,2.0
half_lens,8,-7.96077,1.8,2.0
half_wolens,0,-7.96077,-1.8,2.0
half_wolens,1,-7.96077,-1.35,2.0
half_wolens,2,-7.96077,-0.9,2.0
half_wolens,3,-7.96077,-0.45,2.0
half_wolens,4,-7.96077,0.0,2.0
half_wolens,5,-7.96077,0.45,2.0
half_wolens,6,-7.96077,0.9,2.0
half_wolens,7,-7.96077,1.35,2.0
half_wolens,8,-7.96077,1.8,2.0
full_lens,0,-7.96077,-1.8,2.0
full_lens,1,-7.96077,-1.35,2.0
full_lens,2,-7.96077,-0.9,2.0
full_lens,3,-7.96077,-0.45,2.0
full_lens,4,-7.96077,0.0,2.0
full_lens,5,-7.96077,0.45,2.0
full_lens,6,-7.96077,0.9,2.0
full_lens,7,-7.96077,1.35,2.0
full_lens,8,-7.96077,1.8,2.0
full_wolens,0,-7.96077,-1.8,2.0
full_wolens,1,-7.96077,-1.35,2.0
full_wolens,2,-7.96077,-0.9,2.0
full_wolens,3,-7.96077,-0.45,2.0
full_wolens,4,-7.96077,0.0,2.0
full_wolens,5,-7.96077,0.45,2.0
full_wolens,6,-7.96077,0.9,2.0
full_wolens,7,-7.96077,1.35,2.0
full_wolens,8,-7.96077,1.8,2.0
