source,lens,freq_ghz,channel_form,sv1,sv2,sv3,condition_number,effective_rank,capacity_20db_bps_hz
HFSS Hybrid Solver,with,37.0,raw,0.13081059313808116,0.09574570082383509,0.06484604782764686,2.0172485065822405,2.608382232232108,1.2250441373782128
HFSS Hybrid Solver,with,37.0,frobenius_normalized,0.7492199918134732,0.5483851992910643,0.371406888823456,2.0172485065822414,2.6083822322321075,10.248471927330643
HFSS Hybrid Solver,with,38.0,raw,0.12109640790983793,0.07955085673896087,0.07667541730821184,1.57933810028144,2.7279228025029076,1.1084758292650905
HFSS Hybrid Solver,with,38.0,frobenius_normalized,0.7387251658697235,0.485284583200203,0.4677435222629542,1.57933810028144,2.7279228025029076,10.45986296316281
HFSS Hybrid Solver,with,39.0,raw,0.12708132100761613,0.0846717115477653,0.053676639095030024,2.36753498635839,2.448890340258926,1.0628061967778226
HFSS Hybrid Solver,with,39.0,frobenius_normalized,0.7851088885218395,0.5231021586447298,0.33161448217052536,2.3675349863583905,2.448890340258926,9.990755933862973
HFSS Hybrid Solver,without,37.0,raw,0.0722525242399001,0.045453247821828587,0.015994953388067595,4.517207552089602,2.062992690626191,0.3397827751592128
HFSS Hybrid Solver,without,37.0,frobenius_normalized,0.831959476475126,0.5233763202014179,0.18417561444354533,4.517207552089603,2.06299269062619,9.02126736291992
HFSS Hybrid Solver,without,38.0,raw,0.07717231580449128,0.04789851822813507,0.017442584018253583,4.424362567136315,2.062077268336382,0.3821255926296511
HFSS Hybrid Solver,without,38.0,frobenius_normalized,0.8344012134152913,0.5178875522098088,0.1885924132016515,4.424362567136314,2.0620772683363815,9.038674720295854
HFSS Hybrid Solver,without,39.0,raw,0.06737111296505699,0.04237355150047783,0.01332911751973338,5.054431612994332,2.024023539005248,0.29563785626601496
HFSS Hybrid Solver,without,39.0,frobenius_normalized,0.8348623101440936,0.5250927220550291,0.16517432108444474,5.054431612994331,2.024023539005248,8.881232263352022
HFSS SBR+ Solver,with,37.0,raw,0.18603461358673126,0.0818520289304309,0.06435436924603362,2.8907845071948586,2.0299529423537597,1.5841411285057039
HFSS SBR+ Solver,with,37.0,frobenius_normalized,0.8726221931590191,0.3839387500137903,0.30186345297864775,2.8907845071948604,2.0299529423537592,9.298964933086136
HFSS SBR+ Solver,with,38.0,raw,0.16001506509234747,0.08658476060677694,0.07223069546540248,2.2153333020169037,2.363321283924932,1.4433778134170796
HFSS SBR+ Solver,with,38.0,frobenius_normalized,0.8174358923136065,0.44231767181742415,0.36899002582112095,2.2153333020169037,2.363321283924932,9.92111231969296
HFSS SBR+ Solver,with,39.0,raw,0.13010185736139768,0.08688227615209669,0.071958218297023,1.808019437395939,2.6460804949799823,1.1989444324919687
HFSS SBR+ Solver,with,39.0,frobenius_normalized,0.7555254818934676,0.5045414023219832,0.417874645740335,1.8080194373959384,2.6460804949799823,10.33951144385383
HFSS SBR+ Solver,without,37.0,raw,0.12368787933232189,0.05533322058749813,0.0162535172587277,7.609914664218591,1.6799471673046635,0.7473567434338442
HFSS SBR+ Solver,without,37.0,frobenius_normalized,0.9063235698907729,0.40545445751942716,0.11909773103662485,7.609914664218589,1.6799471673046638,8.08135521266833
HFSS SBR+ Solver,without,38.0,raw,0.1113024360569119,0.04216512901879678,0.017794277821977122,6.254956631026967,1.6075213339706202,0.5969096968125484
HFSS SBR+ Solver,without,38.0,frobenius_normalized,0.9248661878303147,0.3503706074775191,0.14786132700626983,6.25495663102697,1.6075213339706196,8.021228918755252
HFSS SBR+ Solver,without,39.0,raw,0.09572738687479604,0.030531318338530754,0.017157833650594,5.579223392895057,1.5342990847470384,0.44278913087309585
HFSS SBR+ Solver,without,39.0,frobenius_normalized,0.9391229817384656,0.29952413463441663,0.16832503658742276,5.5792233928950585,1.5342990847470384,7.881847076025809
SIonna-RT,with,37.0,raw,0.12423091805959367,0.07587147901979849,0.0639310442923061,1.9432017642568755,2.5416157768105356,1.0362972203985104
SIonna-RT,with,37.0,frobenius_normalized,0.781388644837599,0.4772170495002343,0.4021140054575958,1.9432017642568753,2.5416157768105356,10.194961462199084
SIonna-RT,with,38.0,raw,0.12343033358720261,0.07617992597903647,0.06414299282050788,1.924299571312477,2.5553605053701767,1.0330269208475062
SIonna-RT,with,38.0,frobenius_normalized,0.7782679556416874,0.480338937192882,0.40444220185054974,1.9242995713124775,2.5553605053701767,10.214658248810668
SIonna-RT,with,39.0,raw,0.12405977686907503,0.07515718558003917,0.06491954130712828,1.9109774094391676,2.5486623864608635,1.0359686734444742
SIonna-RT,with,39.0,frobenius_normalized,0.7806675007862688,0.47293952732817346,0.40851738849983504,1.9109774094391676,2.5486623864608635,10.208036721427504
SIonna-RT,without,37.0,raw,0.059702500327399655,0.047676268879424555,0.03255762901245171,1.833748406696518,2.7041384320873054,0.3174305336152295
SIonna-RT,without,37.0,frobenius_normalized,0.7188683465316885,0.574062399232935,0.3920212521556998,1.8337484066965184,2.704138432087306,10.385218035767949
SIonna-RT,without,38.0,raw,0.06180677278164175,0.04680430647135741,0.029949127130718657,2.063725347048491,2.6035212162041184,0.3170982876383922
SIonna-RT,without,38.0,frobenius_normalized,0.7436528755133713,0.5631447093476522,0.36034488628873623,2.0637253470484915,2.603521216204118,10.2266300173387
SIonna-RT,without,39.0,raw,0.06367659907455694,0.04518127640948615,0.027956062013174406,2.277738511402253,2.507205706123377,0.3149671231390581
SIonna-RT,without,39.0,frobenius_normalized,0.7678235941842404,0.5448037512484669,0.3370990964680762,2.2777385114022533,2.5072057061233766,10.072997140989077
