lens,rx_index,tx_index,freq_ghz,solver_a,solver_b,magnitude_difference_db,absolute_magnitude_difference_db,centered_shape_difference_db,absolute_centered_shape_difference_db,circular_phase_difference_deg,phase_difference_aligned_deg
with,1,1,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-3.0235984265916187,3.0235984265916187,-1.2228142395466826,1.2228142395466826,4.434894192057016,-1.9584509976525697
with,1,1,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-2.3121844456191276,2.3121844456191276,-0.5114002585741915,0.5114002585741915,-1.050963497141332,-7.444308686850919
with,1,1,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.06656968892405857,0.06656968892405857,1.7342144981208776,1.7342144981208776,15.796104874213073,9.402759684503486
with,1,2,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.3136457328702278,0.3136457328702278,-2.8641950793653166,2.8641950793653166,143.26617639538887,40.711610528835806
with,1,2,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,2.006114211262023,2.006114211262023,-0.5444351352330656,0.5444351352330656,117.35504712138643,14.80048125483337
with,1,2,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,5.959179561093457,5.959179561093457,3.408630214598368,3.408630214598368,47.04247408288388,-55.512091783669185
with,1,3,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,0.18815979175341369,0.18815979175341369,-4.062621024795533,4.062621024795533,-37.62746198457542,49.03809776680997
with,1,3,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,4.569912873303828,4.569912873303828,0.31913205675488143,0.31913205675488143,-67.39208904053197,19.273470710853417
with,1,3,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,7.994269784589584,7.994269784589584,3.743488968040637,3.743488968040637,-154.97712822904876,-68.31156847766337
with,2,1,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-5.091434882021957,5.091434882021957,8.026510475172742,8.026510475172742,88.55458907162539,84.74513456883676
with,2,1,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-15.995091965542464,15.995091965542464,-2.877146608347765,2.877146608347765,62.66440253963298,58.85494803684435
with,2,1,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-18.267309224019655,18.267309224019655,-5.149363866824956,5.149363866824956,-139.79062810289247,-143.6000826056811
with,2,2,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,0.6304865543827844,0.6304865543827844,0.9589418413867747,0.9589418413867747,166.78148432074525,1.6252147027481667
with,2,2,38.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-0.2808136618013819,0.2808136618013819,0.047641625202608395,0.047641625202608395,160.4169136104127,-4.739356007584377
with,2,2,39.0,HFSS Hybrid Solver,HFSS SBR+ Solver,-1.3350387535933805,1.3350387535933805,-1.0065834665893902,1.0065834665893902,168.27041092283335,3.1141413048362665
with,2,3,37.0,HFSS Hybrid Solver,HFSS SBR+ Solver,7.923325768351795,7.923325768351795,-1.5789982049556954,1.5789982049556954,81.70941279089188,100.89535007041562
