source,lens,freq_ghz,side,mean_off_diagonal_correlation,maximum_off_diagonal_correlation
HFSS Hybrid Solver,with,37.0,rx,0.2244079123120659,0.3249038854065325
HFSS Hybrid Solver,with,37.0,tx,0.23128926866413826,0.3274853018775151
HFSS Hybrid Solver,with,38.0,rx,0.08536297409221545,0.12814693314567313
HFSS Hybrid Solver,with,38.0,tx,0.12629493848915022,0.18264383812629603
HFSS Hybrid Solver,with,39.0,rx,0.2155413995573963,0.432949689262956
HFSS Hybrid Solver,with,39.0,tx,0.26167526340748176,0.41532170615723224
HFSS Hybrid Solver,without,37.0,rx,0.39870546242995464,0.8162602984449371
HFSS Hybrid Solver,without,37.0,tx,0.5507741750781695,0.728560883397698
HFSS Hybrid Solver,without,38.0,rx,0.3932311542350173,0.8149214021291432
HFSS Hybrid Solver,without,38.0,tx,0.561158608509946,0.7568595111472703
HFSS Hybrid Solver,without,39.0,rx,0.40842071172878097,0.8416721592724506
HFSS Hybrid Solver,without,39.0,tx,0.5578686027775842,0.775044454913114
HFSS SBR+ Solver,with,37.0,rx,0.26869888320292623,0.4019657113906881
HFSS SBR+ Solver,with,37.0,tx,0.24705438091935097,0.3363507579056231
HFSS SBR+ Solver,with,38.0,rx,0.21253080171599026,0.30295628936766195
HFSS SBR+ Solver,with,38.0,tx,0.1882871063388268,0.24521938953740602
HFSS SBR+ Solver,with,39.0,rx,0.18194391550954767,0.22662278010056522
HFSS SBR+ Solver,with,39.0,tx,0.1620613819273483,0.182525453420001
HFSS SBR+ Solver,without,37.0,rx,0.7075247955611993,0.8274580533345108
HFSS SBR+ Solver,without,37.0,tx,0.7075763948674202,0.8275259075348013
HFSS SBR+ Solver,without,38.0,rx,0.7665416239610804,0.8496435696698936
HFSS SBR+ Solver,without,38.0,tx,0.7665883879708327,0.8494660282979903
HFSS SBR+ Solver,without,39.0,rx,0.8123952971986759,0.8657047648393329
HFSS SBR+ Solver,without,39.0,tx,0.8126439286071497,0.8654236804399756
SIonna-RT,with,37.0,rx,0.17994878942940937,0.20252992936339004
SIonna-RT,with,37.0,tx,0.18385553825069603,0.20468736607568153
SIonna-RT,with,38.0,rx,0.17717393474153253,0.20194800326240595
SIonna-RT,with,38.0,tx,0.18094308950862206,0.204005063157364
SIonna-RT,with,39.0,rx,0.16624011024522892,0.17492001466959292
SIonna-RT,with,39.0,tx,0.1714525211422838,0.1796219093714922
SIonna-RT,without,37.0,rx,0.26095452839195005,0.3186481666403756
SIonna-RT,without,37.0,tx,0.27907471974589976,0.39176751594170445
SIonna-RT,without,38.0,rx,0.2965177390671649,0.3964229946279029
SIonna-RT,without,38.0,tx,0.33501542174084936,0.45588619917175516
SIonna-RT,without,39.0,rx,0.3163959411885349,0.4596026871245229
SIonna-RT,without,39.0,tx,0.38967620424899146,0.5101406768475439
