source,lens,freq_ghz,channel_form,sv1,sv2,sv3,condition_number,effective_rank,capacity_20db_bps_hz
HFSS Hybrid Solver,with,37.0,raw,0.13081059313808116,0.09574570082383509,0.06484604782764686,2.0172485065822405,2.608382232232108,1.2250441373782128
HFSS Hybrid Solver,with,37.0,frobenius_normalized,0.7492199918134732,0.5483851992910643,0.371406888823456,2.0172485065822414,2.6083822322321075,10.248471927330643
HFSS Hybrid Solver,with,38.0,raw,0.12109640790983793,0.07955085673896087,0.07667541730821184,1.57933810028144,2.7279228025029076,1.1084758292650905
HFSS Hybrid Solver,with,38.0,frobenius_normalized,0.7387251658697235,0.485284583200203,0.4677435222629542,1.57933810028144,2.7279228025029076,10.45986296316281
HFSS Hybrid Solver,with,39.0,raw,0.12708132100761613,0.0846717115477653,0.053676639095030024,2.36753498635839,2.448890340258926,1.0628061967778226
HFSS Hybrid Solver,with,39.0,frobenius_normalized,0.7851088885218395,0.5231021586447298,0.33161448217052536,2.3675349863583905,2.448890340258926,9.990755933862973
HFSS Hybrid Solver,without,37.0,raw,0.0722525242399001,0.045453247821828587,0.015994953388067595,4.517207552089602,2.062992690626191,0.3397827751592128
HFSS Hybrid Solver,without,37.0,frobenius_normalized,0.831959476475126,0.5233763202014179,0.18417561444354533,4.517207552089603,2.06299269062619,9.02126736291992
HFSS Hybrid Solver,without,38.0,raw,0.07717231580449128,0.04789851822813507,0.017442584018253583,4.424362567136315,2.062077268336382,0.3821255926296511
HFSS Hybrid Solver,without,38.0,frobenius_normalized,0.8344012134152913,0.5178875522098088,0.1885924132016515,4.424362567136314,2.0620772683363815,9.038674720295854
HFSS Hybrid Solver,without,39.0,raw,0.06737111296505699,0.04237355150047783,0.01332911751973338,5.054431612994332,2.024023539005248,0.29563785626601496
HFSS Hybrid Solver,without,39.0,frobenius_normalized,0.8348623101440936,0.5250927220550291,0.16517432108444474,5.054431612994331,2.024023539005248,8.881232263352022
