source,lens,freq_ghz,rx_index,tx_index,normalized_power_share
HFSS Hybrid Solver,with,37.0,1,1,0.518378308295175
HFSS Hybrid Solver,with,37.0,1,2,0.00861184233556011
HFSS Hybrid Solver,with,37.0,1,3,0.008522403448656084
HFSS Hybrid Solver,with,37.0,2,1,0.0071227320576834055
HFSS Hybrid Solver,with,37.0,2,2,0.222838012602438
HFSS Hybrid Solver,with,37.0,2,3,0.008411390662605116
HFSS Hybrid Solver,with,37.0,3,1,0.007246686960340247
HFSS Hybrid Solver,with,37.0,3,2,0.010474523440034907
HFSS Hybrid Solver,with,37.0,3,3,0.20839410019750731
HFSS Hybrid Solver,with,38.0,1,1,0.5209261017536257
HFSS Hybrid Solver,with,38.0,1,2,0.006512168021376658
HFSS Hybrid Solver,with,38.0,1,3,0.007728362151470364
HFSS Hybrid Solver,with,38.0,2,1,0.00038881632192970116
HFSS Hybrid Solver,with,38.0,2,2,0.23413317116503793
HFSS Hybrid Solver,with,38.0,2,3,0.006449240091906454
HFSS Hybrid Solver,with,38.0,3,1,0.00045038621102727133
HFSS Hybrid Solver,with,38.0,3,2,0.00749029849086119
HFSS Hybrid Solver,with,38.0,3,3,0.21592145579276467
HFSS Hybrid Solver,with,39.0,1,1,0.5951406359217135
HFSS Hybrid Solver,with,39.0,1,2,0.006674250677003482
HFSS Hybrid Solver,with,39.0,1,3,0.006849627884220631
HFSS Hybrid Solver,with,39.0,2,1,0.00012980095522025832
HFSS Hybrid Solver,with,39.0,2,2,0.18536110890533403
HFSS Hybrid Solver,with,39.0,2,3,0.011244660001327745
HFSS Hybrid Solver,with,39.0,3,1,8.07462018113755e-05
HFSS Hybrid Solver,with,39.0,3,2,0.010214789974521623
HFSS Hybrid Solver,with,39.0,3,3,0.18430437947884726
HFSS Hybrid Solver,without,37.0,1,1,0.19327783307391544
HFSS Hybrid Solver,without,37.0,1,2,0.12774423393368578
HFSS Hybrid Solver,without,37.0,1,3,0.16353816596281423
HFSS Hybrid Solver,without,37.0,2,1,0.07391899616017585
HFSS Hybrid Solver,without,37.0,2,2,0.1321998380656867
HFSS Hybrid Solver,without,37.0,2,3,0.038961411548047296
HFSS Hybrid Solver,without,37.0,3,1,0.07400477067543644
HFSS Hybrid Solver,without,37.0,3,2,0.03808910487112108
HFSS Hybrid Solver,without,37.0,3,3,0.1582656457091171
HFSS Hybrid Solver,without,38.0,1,1,0.2159808618859318
HFSS Hybrid Solver,without,38.0,1,2,0.15026662176700442
HFSS Hybrid Solver,without,38.0,1,3,0.1519222852383554
HFSS Hybrid Solver,without,38.0,2,1,0.06364108134376956
HFSS Hybrid Solver,without,38.0,2,2,0.14044729420985574
HFSS Hybrid Solver,without,38.0,2,3,0.043882298330525836
HFSS Hybrid Solver,without,38.0,3,1,0.06352484926342263
HFSS Hybrid Solver,without,38.0,3,2,0.03875995822785558
HFSS Hybrid Solver,without,38.0,3,3,0.131574749733279
HFSS Hybrid Solver,without,39.0,1,1,0.21744900713587043
HFSS Hybrid Solver,without,39.0,1,2,0.14620687308538283
HFSS Hybrid Solver,without,39.0,1,3,0.15073074550392834
HFSS Hybrid Solver,without,39.0,2,1,0.06979054003709652
HFSS Hybrid Solver,without,39.0,2,2,0.1431977249733175
HFSS Hybrid Solver,without,39.0,2,3,0.053751256210993706
HFSS Hybrid Solver,without,39.0,3,1,0.06950719349095734
HFSS Hybrid Solver,without,39.0,3,2,0.03972616476775075
HFSS Hybrid Solver,without,39.0,3,3,0.10964049479470264
