source,lens,freq_ghz,side,mean_off_diagonal_correlation,maximum_off_diagonal_correlation
HFSS Hybrid Solver,with,37.0,rx,0.2244079123120659,0.3249038854065325
HFSS Hybrid Solver,with,37.0,tx,0.23128926866413826,0.3274853018775151
HFSS Hybrid Solver,with,38.0,rx,0.08536297409221545,0.12814693314567313
HFSS Hybrid Solver,with,38.0,tx,0.12629493848915022,0.18264383812629603
HFSS Hybrid Solver,with,39.0,rx,0.2155413995573963,0.432949689262956
HFSS Hybrid Solver,with,39.0,tx,0.26167526340748176,0.41532170615723224
HFSS Hybrid Solver,without,37.0,rx,0.39870546242995464,0.8162602984449371
HFSS Hybrid Solver,without,37.0,tx,0.5507741750781695,0.728560883397698
HFSS Hybrid Solver,without,38.0,rx,0.3932311542350173,0.8149214021291432
HFSS Hybrid Solver,without,38.0,tx,0.561158608509946,0.7568595111472703
HFSS Hybrid Solver,without,39.0,rx,0.40842071172878097,0.8416721592724506
HFSS Hybrid Solver,without,39.0,tx,0.5578686027775842,0.775044454913114
