source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,magnitude_db,phase_deg,magnitude_centered_db
HFSS SBR+ Solver,with,1,1,rx1,tx1,37.0,-14.989262222017715,132.59012743863445,1.417586774584084
HFSS SBR+ Solver,with,1,1,rx1,tx1,38.0,-16.227087032846175,-31.38943860630672,0.1797619637556238
HFSS SBR+ Solver,with,1,1,rx1,tx1,39.0,-18.004197734941513,175.74715358191386,-1.597348738339715
HFSS SBR+ Solver,with,1,2,rx1,tx2,37.0,-35.49472241406404,-84.50230369448438,4.039521322499986
HFSS SBR+ Solver,with,1,2,rx1,tx2,38.0,-39.5758909058238,118.19478218664925,-0.04164716925976819
HFSS SBR+ Solver,with,1,2,rx1,tx2,39.0,-43.53211788980424,-1.0594703285956297,-3.997874153240211
HFSS SBR+ Solver,with,1,3,rx1,tx3,37.0,-36.041867743347495,-88.84631984965816,4.922299625222095
HFSS SBR+ Solver,with,1,3,rx1,tx3,38.0,-41.39607089158882,118.0537093672837,-0.43190352301922985
HFSS SBR+ Solver,with,1,3,rx1,tx3,39.0,-45.454563470772456,6.934260384431682,-4.490396102202865
HFSS SBR+ Solver,with,2,1,rx2,tx1,37.0,-31.54142789311365,176.00874431846324,2.382838467037949
HFSS SBR+ Solver,with,2,1,rx2,tx1,38.0,-33.81449582549572,19.008650681960674,0.10977053465587971
HFSS SBR+ Solver,with,2,1,rx2,tx1,39.0,-36.41687536184543,-130.79212761603102,-2.492609001693829
HFSS SBR+ Solver,with,2,2,rx2,tx2,37.0,-22.309922638348425,-25.180287171822226,-0.3621724054490443
HFSS SBR+ Solver,with,2,2,rx2,tx2,38.0,-21.731589532237408,174.22066149836138,0.21616070066197324
HFSS SBR+ Solver,with,2,2,rx2,tx2,39.0,-21.801738528112303,23.650047867389148,0.14601170478707814
HFSS SBR+ Solver,with,2,3,rx2,tx3,37.0,-43.83397657726222,114.55025703740604,1.9450467999878
HFSS SBR+ Solver,with,2,3,rx2,tx3,38.0,-47.24582519718017,9.28029425710084,-1.4668018199301471
HFSS SBR+ Solver,with,2,3,rx2,tx3,39.0,-46.25726835730768,-154.04563999351916,-0.47824498005766003
HFSS SBR+ Solver,with,3,1,rx3,tx1,37.0,-31.684046425750978,-4.18345401901466,2.19901394974017
HFSS SBR+ Solver,with,3,1,rx3,tx1,38.0,-33.94794732629052,-160.37195855914794,-0.06488695079936946
HFSS SBR+ Solver,with,3,1,rx3,tx1,39.0,-36.017187374431956,50.12405839814089,-2.1341269989408076
HFSS SBR+ Solver,with,3,2,rx3,tx2,37.0,-43.11434405182154,-66.04748054908463,1.1721125824486052
HFSS SBR+ Solver,with,3,2,rx3,tx2,38.0,-45.86197327692139,-178.27537192245236,-1.5755166426512446
HFSS SBR+ Solver,with,3,2,rx3,tx2,39.0,-43.88305257406752,19.194447690368797,0.4034040602026252
HFSS SBR+ Solver,with,3,3,rx3,tx3,37.0,-22.311307379859553,154.85457310644534,-0.364209488755769
HFSS SBR+ Solver,with,3,3,rx3,tx3,38.0,-21.724973012735795,-5.828031724364395,0.222124878367989
HFSS SBR+ Solver,with,3,3,rx3,tx3,39.0,-21.805013280716004,-156.35426908324436,0.14208461038777997
HFSS SBR+ Solver,without,1,1,rx1,tx1,37.0,-23.930085909736842,14.836701625998387,1.525688004288785
HFSS SBR+ Solver,without,1,1,rx1,tx1,38.0,-25.31508030237497,-143.94549585856925,0.14069361165065786
HFSS SBR+ Solver,without,1,1,rx1,tx1,39.0,-27.122155529965063,73.33166219107315,-1.6663816159394358
HFSS SBR+ Solver,without,1,2,rx1,tx2,37.0,-28.1258066280493,-158.52927878794236,0.7865801234056313
HFSS SBR+ Solver,without,1,2,rx1,tx2,38.0,-28.79930738151808,50.016038110091635,0.11307936993685175
HFSS SBR+ Solver,without,1,2,rx1,tx2,39.0,-29.81204624479741,-87.88994654127245,-0.8996594933424795
HFSS SBR+ Solver,without,1,3,rx1,tx3,37.0,-28.14446067096472,-158.5695265266728,0.7840774023976813
HFSS SBR+ Solver,without,1,3,rx1,tx3,38.0,-28.81257998019332,50.009463118502936,0.11595809316908046
HFSS SBR+ Solver,without,1,3,rx1,tx3,39.0,-29.82857356892916,-88.03478914048335,-0.9000354955667582
HFSS SBR+ Solver,without,2,1,rx2,tx1,37.0,-28.14285544570152,-158.52557020756907,0.7894964958051851
HFSS SBR+ Solver,without,2,1,rx2,tx1,38.0,-28.809597969341553,50.053696643907344,0.12275397216515316
HFSS SBR+ Solver,without,2,1,rx2,tx1,39.0,-29.844602409477044,-88.03393779471216,-0.9122504679703383
HFSS SBR+ Solver,without,2,2,rx2,tx2,37.0,-23.886552371605546,14.905882122411906,1.5370464250546725
HFSS SBR+ Solver,without,2,2,rx2,tx2,38.0,-25.287280095290047,-143.76131493194814,0.13631870137017188
HFSS SBR+ Solver,without,2,2,rx2,tx2,39.0,-27.096963923085063,73.30916514011545,-1.6733651264248444
HFSS SBR+ Solver,without,2,3,rx2,tx3,37.0,-38.75315749379011,-23.547749426126188,-1.0234770644112103
HFSS SBR+ Solver,without,2,3,rx2,tx3,38.0,-37.386162903397725,-165.45515695914617,0.34351752598117713
HFSS SBR+ Solver,without,2,3,rx2,tx3,39.0,-37.04972089094886,62.959094544358045,0.6799595384300403
HFSS SBR+ Solver,without,3,1,rx3,tx1,37.0,-28.13351853885239,-158.5807585959655,0.7963855103200324
HFSS SBR+ Solver,without,3,1,rx3,tx1,38.0,-28.80937080873537,50.032289631023616,0.1205332404370516
HFSS SBR+ Solver,without,3,1,rx3,tx1,39.0,-29.846822799929498,-87.92626849167179,-0.9169187507570769
HFSS SBR+ Solver,without,3,2,rx3,tx2,37.0,-38.836892006330224,-22.757409319274537,-1.0267107941561662
