source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,channel_real,channel_imag,magnitude_linear,magnitude_db,phase_deg
HFSS SBR+ Solver,with,1,1,rx1,tx1,37.0,-0.1204937695074,0.1310813146413,0.17804791360247366,-14.989262222017715,132.59012743863445
HFSS SBR+ Solver,with,1,1,rx1,tx1,38.0,0.131802569131692,-0.08041928802053,0.1543994142328377,-16.227087032846175,-31.38943860630672
HFSS SBR+ Solver,with,1,1,rx1,tx1,39.0,-0.12548523692017,0.0093314324018,0.125831714267829,-18.004197734941513,175.74715358191386
HFSS SBR+ Solver,with,1,2,rx1,tx2,37.0,0.00160936801542,-0.0167209727095,0.016798243770135637,-35.49472241406404,-84.50230369448438
HFSS SBR+ Solver,with,1,2,rx1,tx2,38.0,-0.00496112484473,0.00925448232595,0.01050039060446411,-39.5758909058238,118.19478218664925
HFSS SBR+ Solver,with,1,2,rx1,tx2,39.0,0.006657633028,-0.00012312196037,0.00665877139963836,-43.53211788980424,-1.0594703285956297
HFSS SBR+ Solver,with,1,3,rx1,tx3,37.0,0.0003175704276,-0.0157695233638,0.015772720694221407,-36.041867743347495,-88.84631984965816
HFSS SBR+ Solver,with,1,3,rx1,tx3,38.0,-0.00400470512996,0.00751475235644,0.008515231421197459,-41.39607089158882,118.0537093672837
HFSS SBR+ Solver,with,1,3,rx1,tx3,39.0,0.00529765203758,0.00064430072614,0.005336688161864066,-45.454563470772456,6.934260384431682
HFSS SBR+ Solver,with,2,1,rx2,tx1,37.0,-0.0264164238935,0.0018431650362,0.026480647814427574,-31.54142789311365,176.00874431846324
HFSS SBR+ Solver,with,2,1,rx2,tx1,38.0,0.0192718182244,0.00663907403702,0.02038333343060818,-33.81449582549572,19.008650681960674
HFSS SBR+ Solver,with,2,1,rx2,tx1,39.0,-0.0098691537947,-0.0114367012033,0.015106234839860165,-36.41687536184543,-130.79212761603102
HFSS SBR+ Solver,with,2,2,rx2,tx2,37.0,0.06936489374234,-0.03261149632984,0.07664853669025448,-22.309922638348425,-25.180287171822226
HFSS SBR+ Solver,with,2,2,rx2,tx2,38.0,-0.08150934677321,0.00824972215354,0.08192576839435813,-21.731589532237408,174.22066149836138
HFSS SBR+ Solver,with,2,2,rx2,tx2,39.0,0.0744414042082,0.0326001153535,0.08126678399906154,-21.801738528112303,23.650047867389148
HFSS SBR+ Solver,with,2,3,rx2,tx3,37.0,-0.00267216369927,0.0058499246575,0.006431335579342974,-43.83397657726222,114.55025703740604
HFSS SBR+ Solver,with,2,3,rx2,tx3,38.0,0.00428535529452,0.00070024054113,0.004342189173183571,-47.24582519718017,9.28029425710084
HFSS SBR+ Solver,with,2,3,rx2,tx3,39.0,-0.0043748717616,-0.002129455325,0.0048656020091676164,-46.25726835730768,-154.04563999351916
HFSS SBR+ Solver,with,3,1,rx3,tx1,37.0,0.0259799908573,-0.0019003084204,0.026049397249035048,-31.684046425750978,-4.18345401901466
HFSS SBR+ Solver,with,3,1,rx3,tx1,38.0,-0.01890620135745,-0.00674262352323,0.020072553941749883,-33.94794732629052,-160.37195855914794
HFSS SBR+ Solver,with,3,1,rx3,tx1,39.0,0.0101410984461,0.0121389719924,0.01581760154782524,-36.017187374431956,50.12405839814089
HFSS SBR+ Solver,with,3,2,rx3,tx2,37.0,0.00283652655995,-0.0063851781302,0.006986872167120717,-43.11434405182154,-66.04748054908463
HFSS SBR+ Solver,with,3,2,rx3,tx2,38.0,-0.00508984507123,-0.00015325285467,0.005092151734442801,-45.86197327692139,-178.27537192245236
HFSS SBR+ Solver,with,3,2,rx3,tx2,39.0,0.0060395855399,0.0021025499818,0.006395100462051894,-43.88305257406752,19.194447690368797
HFSS SBR+ Solver,with,3,3,rx3,tx3,37.0,-0.06937366187898,0.032564094927,0.0766363180281628,-22.311307379859553,154.85457310644534
HFSS SBR+ Solver,with,3,3,rx3,tx3,38.0,0.08156441469272,-0.0083253299062797,0.08198819953026407,-21.724973012735795,-5.828031724364395
HFSS SBR+ Solver,with,3,3,rx3,tx3,39.0,-0.0744157987316,-0.0325822200143,0.08123615058532901,-21.805013280716004,-156.35426908324436
HFSS SBR+ Solver,without,1,1,rx1,tx1,37.0,0.0614850110254,0.016287182261,0.0636056513746742,-23.930085909736842,14.836701625998387
