source,lens,freq_ghz,rx_index,tx_index,normalized_power_share
HFSS SBR+ Solver,with,37.0,1,1,0.6974912646454535
HFSS SBR+ Solver,with,37.0,1,2,0.006208586749602839
HFSS SBR+ Solver,with,37.0,1,3,0.005473665083462979
HFSS SBR+ Solver,with,37.0,2,1,0.015428446745220748
HFSS SBR+ Solver,with,37.0,2,2,0.12926255361146938
HFSS SBR+ Solver,with,37.0,2,3,0.000910054365639793
HFSS SBR+ Solver,with,37.0,3,1,0.014930018728701339
HFSS SBR+ Solver,with,37.0,3,2,0.001074065062388465
HFSS SBR+ Solver,with,37.0,3,3,0.12922134500806096
HFSS SBR+ Solver,with,38.0,1,1,0.6221240028015783
HFSS SBR+ Solver,with,38.0,1,2,0.0028773756916832495
HFSS SBR+ Solver,with,38.0,1,3,0.0018922502520186978
HFSS SBR+ Solver,with,38.0,2,1,0.010842665962262608
HFSS SBR+ Solver,with,38.0,2,2,0.175156681171366
HFSS SBR+ Solver,with,38.0,2,3,0.0004920430945477581
HFSS SBR+ Solver,with,38.0,3,1,0.01051455575547674
HFSS SBR+ Solver,with,38.0,3,2,0.0006766877790521057
HFSS SBR+ Solver,with,38.0,3,3,0.17542373749201448
HFSS SBR+ Solver,with,39.0,1,1,0.5339633710465073
HFSS SBR+ Solver,with,39.0,1,2,0.001495269417063134
HFSS SBR+ Solver,with,39.0,1,3,0.0009604502913573659
HFSS SBR+ Solver,with,39.0,2,1,0.007695621574795751
HFSS SBR+ Solver,with,39.0,2,2,0.2227190609869409
HFSS SBR+ Solver,with,39.0,2,3,0.0007983703578822025
HFSS SBR+ Solver,with,39.0,3,1,0.008437475062569783
HFSS SBR+ Solver,with,39.0,3,2,0.0013791959789504072
HFSS SBR+ Solver,with,39.0,3,3,0.22255118528393322
HFSS SBR+ Solver,without,37.0,1,1,0.21722193144112817
HFSS SBR+ Solver,without,37.0,1,2,0.08266688994269347
HFSS SBR+ Solver,without,37.0,1,3,0.08231257628687294
HFSS SBR+ Solver,without,37.0,2,1,0.0823430060192837
HFSS SBR+ Solver,without,37.0,2,2,0.21941030682073184
HFSS SBR+ Solver,without,37.0,2,3,0.007154783759543505
HFSS SBR+ Solver,without,37.0,3,1,0.0825202258678216
HFSS SBR+ Solver,without,37.0,3,2,0.007018156707164685
HFSS SBR+ Solver,without,37.0,3,3,0.21935212315476013
HFSS SBR+ Solver,without,38.0,1,1,0.20306750598431766
HFSS SBR+ Solver,without,38.0,1,2,0.09103695584395531
HFSS SBR+ Solver,without,38.0,1,3,0.09075915988898052
HFSS SBR+ Solver,without,38.0,2,1,0.09082149955690479
HFSS SBR+ Solver,without,38.0,2,2,0.2043715579752289
HFSS SBR+ Solver,without,38.0,2,3,0.012604690167554894
HFSS SBR+ Solver,without,38.0,3,1,0.09082625015985372
HFSS SBR+ Solver,without,38.0,3,2,0.012403242962326071
HFSS SBR+ Solver,without,38.0,3,3,0.20410913746087814
HFSS SBR+ Solver,without,39.0,1,1,0.18670544178674692
HFSS SBR+ Solver,without,39.0,1,2,0.10050042648997183
HFSS SBR+ Solver,without,39.0,1,3,0.10011869320129742
HFSS SBR+ Solver,without,39.0,2,1,0.09974985850011966
HFSS SBR+ Solver,without,39.0,2,2,0.1877915890808162
HFSS SBR+ Solver,without,39.0,2,3,0.018984555806900557
HFSS SBR+ Solver,without,39.0,3,1,0.09969887304346749
HFSS SBR+ Solver,without,39.0,3,2,0.018604610423489754
HFSS SBR+ Solver,without,39.0,3,3,0.18784595166719015
