source,lens,freq_ghz,side,mean_off_diagonal_correlation,maximum_off_diagonal_correlation
HFSS SBR+ Solver,with,37.0,rx,0.26869888320292623,0.4019657113906881
HFSS SBR+ Solver,with,37.0,tx,0.24705438091935097,0.3363507579056231
HFSS SBR+ Solver,with,38.0,rx,0.21253080171599026,0.30295628936766195
HFSS SBR+ Solver,with,38.0,tx,0.1882871063388268,0.24521938953740602
HFSS SBR+ Solver,with,39.0,rx,0.18194391550954767,0.22662278010056522
HFSS SBR+ Solver,with,39.0,tx,0.1620613819273483,0.182525453420001
HFSS SBR+ Solver,without,37.0,rx,0.7075247955611993,0.8274580533345108
HFSS SBR+ Solver,without,37.0,tx,0.7075763948674202,0.8275259075348013
HFSS SBR+ Solver,without,38.0,rx,0.7665416239610804,0.8496435696698936
HFSS SBR+ Solver,without,38.0,tx,0.7665883879708327,0.8494660282979903
HFSS SBR+ Solver,without,39.0,rx,0.8123952971986759,0.8657047648393329
HFSS SBR+ Solver,without,39.0,tx,0.8126439286071497,0.8654236804399756
