source,lens,rx_index,tx_index,native_rx,native_tx,freq_ghz,magnitude_db,phase_deg,magnitude_centered_db
SIonna-RT,with,1,1,rx_index 2,tx_index 2,37.0,-18.290024400574126,160.25200396471746,0.018481603886382203
SIonna-RT,with,1,1,rx_index 2,tx_index 2,38.0,-18.34431845715863,80.08520019970285,-0.03581245269812072
SIonna-RT,with,1,1,rx_index 2,tx_index 2,39.0,-18.291175155648762,-0.3892717933012872,0.017330848811745625
SIonna-RT,with,1,2,rx_index 2,tx_index 1,37.0,-42.50214753238434,171.44168682257248,-0.04420706649867867
SIonna-RT,with,1,2,rx_index 2,tx_index 1,38.0,-42.54256739662857,95.01258362494104,-0.08462693074290684
SIonna-RT,with,1,2,rx_index 2,tx_index 1,39.0,-42.32910646864408,20.62719270553468,0.1288339972415855
SIonna-RT,with,1,3,rx_index 2,tx_index 3,37.0,-41.11893817130621,169.5253918337924,-0.03982519712234733
SIonna-RT,with,1,3,rx_index 2,tx_index 3,38.0,-41.15367675781158,93.31095642893094,-0.07456378362771687
SIonna-RT,with,1,3,rx_index 2,tx_index 3,39.0,-40.9647239934338,18.651568452027597,0.1143889807500642
SIonna-RT,with,2,1,rx_index 1,tx_index 2,37.0,-42.7392250131055,-22.03383500268993,0.03419628436453337
SIonna-RT,with,2,1,rx_index 1,tx_index 2,38.0,-42.74165715598829,-100.6632520607176,0.03176414148173734
SIonna-RT,with,2,1,rx_index 1,tx_index 2,39.0,-42.83938172331631,-176.58256765245673,-0.06596042584627781
SIonna-RT,with,2,2,rx_index 1,tx_index 1,37.0,-22.7842139881149,15.559668058011301,-0.004834025740397152
SIonna-RT,with,2,2,rx_index 1,tx_index 1,38.0,-22.760065584051578,-47.908186199946755,0.019314378322924597
SIonna-RT,with,2,2,rx_index 1,tx_index 1,39.0,-22.793860314957023,-111.20351207467696,-0.01448035258252034
SIonna-RT,with,2,3,rx_index 1,tx_index 3,37.0,-43.03093042406846,16.32164900011228,-0.09773283903671626
SIonna-RT,with,2,3,rx_index 1,tx_index 3,38.0,-42.80924491617569,-63.43362153271294,0.12395266885604883
SIonna-RT,with,2,3,rx_index 1,tx_index 3,39.0,-42.95941741485109,-145.07129491322976,-0.026219829819346785
SIonna-RT,with,3,1,rx_index 3,tx_index 2,37.0,-42.90815187409389,164.267604819346,0.04314740382793758
SIonna-RT,with,3,1,rx_index 3,tx_index 2,38.0,-42.90994565978015,85.6329353222187,0.04135361814167737
SIonna-RT,with,3,1,rx_index 3,tx_index 2,39.0,-43.03580029989142,9.658896427645939,-0.08450102196959364
SIonna-RT,with,3,2,rx_index 3,tx_index 1,37.0,-43.20270373418226,-158.71169135801793,-0.10643831837433737
SIonna-RT,with,3,2,rx_index 3,tx_index 1,38.0,-42.952868312062584,121.34618106288455,0.1433971037453361
SIonna-RT,with,3,2,rx_index 3,tx_index 1,39.0,-43.13322420117892,39.51734428601196,-0.036958785370998726
SIonna-RT,with,3,3,rx_index 3,tx_index 3,37.0,-23.143300815802256,-163.73546341577116,-0.004442731182042081
SIonna-RT,with,3,3,rx_index 3,tx_index 3,38.0,-23.119778386846694,132.79313053279952,0.019079697773520365
SIonna-RT,with,3,3,rx_index 3,tx_index 3,39.0,-23.1534950512117,69.50359586002308,-0.01463696659148539
SIonna-RT,without,1,1,rx_index 2,tx_index 2,37.0,-28.997533054707407,85.70214855056511,0.027229222765267735
SIonna-RT,without,1,1,rx_index 2,tx_index 2,38.0,-29.05915413215158,5.347731601101743,-0.03439185467890482
SIonna-RT,without,1,1,rx_index 2,tx_index 2,39.0,-29.01759964555904,-74.91197569816453,0.007162631913633533
SIonna-RT,without,1,2,rx_index 2,tx_index 1,37.0,-30.699928050347957,69.779127149236,-0.0055878305691585695
SIonna-RT,without,1,2,rx_index 2,tx_index 1,38.0,-30.68406897241314,-6.331495355657306,0.010271247365658098
SIonna-RT,without,1,2,rx_index 2,tx_index 1,39.0,-30.699023636575305,-81.77161618370928,-0.004683416796506634
