source,lens,freq_ghz,rx_index,tx_index,normalized_power_share
SIonna-RT,with,37.0,1,1,0.5865058687612978
SIonna-RT,with,37.0,1,2,0.0022236173242577476
SIonna-RT,with,37.0,1,3,0.0030576022203666403
SIonna-RT,with,37.0,2,1,0.0021054857231438727
SIonna-RT,with,37.0,2,2,0.2083787379579597
SIonna-RT,with,37.0,2,3,0.0019687100567875233
SIonna-RT,with,37.0,3,1,0.00202516127762999
SIonna-RT,with,37.0,3,2,0.0018923629162704372
SIonna-RT,with,37.0,3,3,0.19184245376228629
SIonna-RT,with,38.0,1,1,0.5820799595738995
SIonna-RT,with,38.0,1,2,0.002213898740894236
SIonna-RT,with,38.0,1,3,0.003048223571896992
SIonna-RT,with,38.0,2,1,0.0021147000586779607
SIonna-RT,with,38.0,2,2,0.2105755455575157
SIonna-RT,with,38.0,2,3,0.00208204447014827
SIonna-RT,with,38.0,3,1,0.0020343230829716584
SIonna-RT,with,38.0,3,2,0.0020143162751386926
SIonna-RT,with,38.0,3,3,0.1938369886688571
SIonna-RT,with,39.0,1,1,0.5868845721994455
SIonna-RT,with,39.0,1,2,0.0023161120271753453
SIonna-RT,with,39.0,1,3,0.0031710114435719436
SIonna-RT,with,39.0,2,1,0.002059358877901564
SIonna-RT,with,39.0,2,2,0.20810579655224368
SIonna-RT,with,39.0,2,3,0.00200321916815633
SIonna-RT,with,39.0,3,1,0.00196829495203308
SIonna-RT,with,39.0,3,2,0.001924632382013591
SIonna-RT,with,39.0,3,3,0.19156700239745914
SIonna-RT,without,37.0,1,1,0.18262506236128573
SIonna-RT,without,37.0,1,2,0.12340162471192101
SIonna-RT,without,37.0,1,3,0.12241472737819133
SIonna-RT,without,37.0,2,1,0.05762638520809256
SIonna-RT,without,37.0,2,2,0.2161408378805785
SIonna-RT,without,37.0,2,3,0.01262854257918343
SIonna-RT,without,37.0,3,1,0.05865551248195732
SIonna-RT,without,37.0,3,2,0.013405083843016417
SIonna-RT,without,37.0,3,3,0.2131022235557737
SIonna-RT,without,38.0,1,1,0.17978480138589317
SIonna-RT,without,38.0,1,2,0.12366918269061472
SIonna-RT,without,38.0,1,3,0.12265434718811133
SIonna-RT,without,38.0,2,1,0.05738029527737301
SIonna-RT,without,38.0,2,2,0.21787846726107093
SIonna-RT,without,38.0,2,3,0.012279083203569529
SIonna-RT,without,38.0,3,1,0.05843102008249661
SIonna-RT,without,38.0,3,2,0.013073658696229144
SIonna-RT,without,38.0,3,3,0.2148491442146414
SIonna-RT,without,39.0,1,1,0.1823069486084036
SIonna-RT,without,39.0,1,2,0.12378294838970899
SIonna-RT,without,39.0,1,3,0.12280776334338436
SIonna-RT,without,39.0,2,1,0.057012434972879604
SIonna-RT,without,39.0,2,2,0.2164655536423072
SIonna-RT,without,39.0,2,3,0.012713979425649632
SIonna-RT,without,39.0,3,1,0.05801324031519318
SIonna-RT,without,39.0,3,2,0.013492650723764814
SIonna-RT,without,39.0,3,3,0.21340448057870862
