source,lens,freq_ghz,side,mean_off_diagonal_correlation,maximum_off_diagonal_correlation
SIonna-RT,with,37.0,rx,0.17994878942940937,0.20252992936339004
SIonna-RT,with,37.0,tx,0.18385553825069603,0.20468736607568153
SIonna-RT,with,38.0,rx,0.17717393474153253,0.20194800326240595
SIonna-RT,with,38.0,tx,0.18094308950862206,0.204005063157364
SIonna-RT,with,39.0,rx,0.16624011024522892,0.17492001466959292
SIonna-RT,with,39.0,tx,0.1714525211422838,0.1796219093714922
SIonna-RT,without,37.0,rx,0.26095452839195005,0.3186481666403756
SIonna-RT,without,37.0,tx,0.27907471974589976,0.39176751594170445
SIonna-RT,without,38.0,rx,0.2965177390671649,0.3964229946279029
SIonna-RT,without,38.0,tx,0.33501542174084936,0.45588619917175516
SIonna-RT,without,39.0,rx,0.3163959411885349,0.4596026871245229
SIonna-RT,without,39.0,tx,0.38967620424899146,0.5101406768475439
