lens,rx_index,tx_index,freq_ghz,minimum_magnitude_db,maximum_magnitude_db,mean_magnitude_db,inter_solver_spread_db
with,1,1,37.0,-18.290024400574126,-14.989262222017715,-17.097382423733723,3.300762178556411
with,1,1,38.0,-18.539271478465302,-16.227087032846175,-17.703558989490034,2.3121844456191276
with,1,1,39.0,-18.291175155648762,-18.004197734941513,-18.122046771485284,0.28697742070724885
with,1,2,37.0,-42.50214753238434,-35.49472241406404,-37.93507936446088,7.007425118320299
with,1,2,38.0,-42.54256739662857,-37.569776694561774,-39.89607833233805,4.972790702066796
with,1,2,39.0,-43.53211788980424,-37.572938328710784,-41.1447208957197,5.959179561093457
with,1,3,37.0,-41.11893817130621,-35.85370795159408,-37.6715046220826,5.26523021971213
with,1,3,38.0,-41.39607089158882,-36.82615801828499,-39.79196855589513,4.569912873303828
with,1,3,39.0,-45.454563470772456,-37.46029368618287,-41.293193716796374,7.994269784589584
with,2,1,37.0,-42.7392250131055,-31.54142789311365,-36.97117189378492,11.197797119991847
with,2,1,38.0,-49.80958779103818,-33.81449582549572,-42.121913590840734,15.995091965542464
with,2,1,39.0,-54.68418458586508,-36.41687536184543,-44.646813890342266,18.267309224019655
with,2,2,37.0,-22.7842139881149,-21.67943608396564,-22.25785757014299,1.104777904149259
with,2,2,38.0,-22.760065584051578,-21.731589532237408,-22.168019436775925,1.0284760518141702
with,2,2,39.0,-23.136777281705683,-21.801738528112303,-22.577458708258337,1.3350387535933805
with,2,3,37.0,-43.83397657726222,-35.910650808910425,-40.925185936747035,7.923325768351795
with,2,3,38.0,-47.24582519718017,-37.61194721649712,-42.55567244328433,9.633877980683046
with,2,3,39.0,-46.25726835730768,-35.30750018642005,-41.508061986192935,10.94976817088763
with,3,1,37.0,-42.90815187409389,-31.684046425750978,-37.05004404554696,11.224105448342911
with,3,1,38.0,-49.17118181039164,-33.94794732629052,-42.00969159882077,15.22323448410112
with,3,1,39.0,-56.74574244208627,-36.017187374431956,-45.26624337213655,20.728555067654312
with,3,2,37.0,-43.20270373418226,-34.957986119452215,-40.42501130181867,8.244717614730042
with,3,2,38.0,-45.86197327692139,-36.962041419533776,-41.92562766950592,8.899931857387614
with,3,2,39.0,-43.88305257406752,-35.72466905519783,-40.913648610148094,8.158383518869691
with,3,3,37.0,-23.143300815802256,-21.970474653334584,-22.47502761633213,1.172826162467672
with,3,3,38.0,-23.119778386846694,-21.724973012735795,-22.402942023537094,1.3948053741108986
with,3,3,39.0,-23.161606919488577,-21.805013280716004,-22.706705083805428,1.3565936387725728
without,1,1,37.0,-28.997533054707407,-23.930085909736842,-27.09692715249291,5.067447144970565
without,1,1,38.0,-29.05915413215158,-25.31508030237497,-27.23611653931412,3.7440738297766103
without,1,1,39.0,-29.01759964555904,-27.122155529965063,-28.20966785075443,1.8954441155939783
without,1,2,37.0,-30.699928050347957,-28.1258066280493,-29.662434862643106,2.5741214222986564
without,1,2,38.0,-30.68406897241314,-28.79930738151808,-29.464339669229677,1.8847615908950601
without,1,2,39.0,-30.699023636575305,-29.81204624479741,-30.241404886184707,0.8869773917778936
without,1,3,37.0,-30.734800129884434,-28.14446067096472,-29.322684181123208,2.590339458919715
without,1,3,38.0,-30.719854425202385,-28.81257998019332,-29.464829147667277,1.9072744450090653
without,1,3,39.0,-30.733373648329877,-29.82857356892916,-30.214250470963538,0.9048000794007187
without,2,1,37.0,-34.006923047311574,-28.14285544570152,-31.56240028694292,5.864067601610053
without,2,1,38.0,-34.0190560907518,-28.809597969341553,-31.82318214671228,5.20945812141025
without,2,1,39.0,-34.065935967080236,-29.844602409477044,-32.445131818221476,4.221333557603192
without,2,2,37.0,-30.012673740242764,-23.886552371605546,-27.38833154399406,6.126121368637218
without,2,2,38.0,-29.20313411553828,-25.287280095290047,-27.57165165839581,3.915854020248233
without,2,2,39.0,-30.30346148451772,-27.096963923085063,-28.55738976951261,3.2064975614326556
without,2,3,37.0,-40.59960449840381,-35.31863614483585,-38.223799379009925,5.280968353567957
without,2,3,38.0,-40.71502445685947,-34.25537422639173,-37.45218719554964,6.459650230467737
without,2,3,39.0,-40.58281682311075,-34.558936481823494,-37.39715806529437,6.023880341287253
without,3,1,37.0,-33.930048490742124,-28.13351853885239,-31.531984276591004,5.796529951889735
without,3,1,38.0,-33.94024919614957,-28.80937080873537,-31.799483818515863,5.130878387414203
without,3,1,39.0,-33.99036063054667,-29.846822799929498,-32.42656952168767,4.14353783061717
without,3,2,37.0,-40.340441480603616,-35.416975307354875,-38.19810293142957,4.923466173248741
without,3,2,38.0,-40.44271244866099,-34.79443487929233,-37.56442648998416,5.648277569368659
without,3,2,39.0,-40.3246590842749,-35.87205627164118,-37.77807828136962,4.452602812633721
without,3,3,37.0,-29.23111643220938,-23.8877041951661,-27.148692547291088,5.343412237043278
without,3,3,38.0,-29.48654235639146,-25.292860177691633,-27.68825004373728,4.193682178699827
without,3,3,39.0,-31.46311279915269,-27.095706893694334,-28.96413874129973,4.367405905458355
