rx_index,tx_index,freq_ghz,positive_solver_count,negative_solver_count,unanimous_direction,majority_direction
1,1,37.0,3,0,True,increase
1,1,38.0,3,0,True,increase
1,1,39.0,3,0,True,increase
1,2,37.0,0,3,True,decrease
1,2,38.0,0,3,True,decrease
1,2,39.0,0,3,True,decrease
1,3,37.0,0,3,True,decrease
1,3,38.0,0,3,True,decrease
1,3,39.0,0,3,True,decrease
2,1,37.0,0,3,True,decrease
2,1,38.0,0,3,True,decrease
2,1,39.0,0,3,True,decrease
2,2,37.0,3,0,True,increase
2,2,38.0,3,0,True,increase
2,2,39.0,3,0,True,increase
2,3,37.0,0,3,True,decrease
2,3,38.0,0,3,True,decrease
2,3,39.0,0,3,True,decrease
3,1,37.0,0,3,True,decrease
3,1,38.0,0,3,True,decrease
3,1,39.0,0,3,True,decrease
3,2,37.0,1,2,False,decrease
3,2,38.0,0,3,True,decrease
3,2,39.0,1,2,False,decrease
3,3,37.0,3,0,True,increase
3,3,38.0,3,0,True,increase
3,3,39.0,3,0,True,increase
